id,title,slug,description,created_at,updated_at,exam_id
1,Youfeed,youfeed,Quisque ut erat. Curabitur gravida nisi at nibh.,2022-06-28 00:00:00+05:30,2022-10-06 00:00:00+05:30,6
2,Eamia,eamia,Nam nulla.,2022-08-26 00:00:00+05:30,2023-01-07 00:00:00+05:30,10
3,Edgeclub,edgeclub,Etiam faucibus cursus urna. Ut tellus.,2022-12-26 00:00:00+05:30,2022-04-03 00:00:00+05:30,4
4,Tanoodle,tanoodle,Aenean auctor gravida sem.,2023-02-01 00:00:00+05:30,2022-10-03 00:00:00+05:30,5
5,Skippad,skippad,Suspendisse accumsan tortor quis turpis.,2022-11-30 00:00:00+05:30,2022-04-11 00:00:00+05:30,10
6,Skiba,skiba,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",2022-05-14 00:00:00+05:30,2022-12-06 00:00:00+05:30,3
7,Gevee,gevee,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",2022-12-20 00:00:00+05:30,2022-06-16 00:00:00+05:30,4
8,Ailane,ailane,Morbi non quam nec dui luctus rutrum. Nulla tellus.,2022-05-16 00:00:00+05:30,2022-03-21 00:00:00+05:30,4
9,Linktype,linktype,Quisque porta volutpat erat.,2023-01-14 00:00:00+05:30,2022-07-22 00:00:00+05:30,6
10,Feedbug,feedbug,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",2022-12-04 00:00:00+05:30,2022-05-01 00:00:00+05:30,7
11,Trilia,trilia,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,2022-03-14 00:00:00+05:30,2022-07-01 00:00:00+05:30,2
12,Abata,abata,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",2022-09-18 00:00:00+05:30,2022-11-07 00:00:00+05:30,10
13,Brightdog,brightdog,Ut at dolor quis odio consequat varius. Integer ac leo.,2022-12-10 00:00:00+05:30,2022-03-18 00:00:00+05:30,9
14,Browsecat,browsecat,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",2022-11-28 00:00:00+05:30,2023-03-04 00:00:00+05:30,3
15,Quimba,quimba,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,2023-02-16 00:00:00+05:30,2023-02-27 00:00:00+05:30,2
16,Zoonder,zoonder,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",2022-07-20 00:00:00+05:30,2022-10-12 00:00:00+05:30,7
17,Mudo,mudo,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",2022-10-28 00:00:00+05:30,2022-11-27 00:00:00+05:30,5
18,Riffpedia,riffpedia,Integer ac leo. Pellentesque ultrices mattis odio.,2022-06-12 00:00:00+05:30,2022-04-25 00:00:00+05:30,3
19,Mynte,mynte,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",2022-05-31 00:00:00+05:30,2022-07-05 00:00:00+05:30,4
20,Browsecat,browsecat,Maecenas tincidunt lacus at velit.,2022-05-02 00:00:00+05:30,2022-05-13 00:00:00+05:30,9
21,Oyoba,oyoba,Suspendisse ornare consequat lectus.,2022-04-30 00:00:00+05:30,2022-04-22 00:00:00+05:30,9
22,Yacero,yacero,Cras pellentesque volutpat dui.,2022-09-19 00:00:00+05:30,2022-12-03 00:00:00+05:30,8
23,Linkbuzz,linkbuzz,Maecenas ut massa quis augue luctus tincidunt.,2023-01-06 00:00:00+05:30,2022-08-06 00:00:00+05:30,2
24,Blognation,blognation,Aliquam non mauris.,2022-10-20 00:00:00+05:30,2023-01-11 00:00:00+05:30,7
25,Tagopia,tagopia,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",2022-09-23 00:00:00+05:30,2022-09-28 00:00:00+05:30,3
26,Fatz,fatz,Donec semper sapien a libero. Nam dui.,2023-03-02 00:00:00+05:30,2022-11-16 00:00:00+05:30,1
27,Skyba,skyba,Quisque ut erat.,2022-03-27 00:00:00+05:30,2022-09-25 00:00:00+05:30,10
28,Feedfish,feedfish,Donec dapibus. Duis at velit eu est congue elementum.,2022-08-26 00:00:00+05:30,2022-08-16 00:00:00+05:30,4
29,Skipstorm,skipstorm,Morbi non quam nec dui luctus rutrum. Nulla tellus.,2022-07-25 00:00:00+05:30,2022-12-14 00:00:00+05:30,9
30,Yotz,yotz,Mauris sit amet eros.,2022-06-15 00:00:00+05:30,2022-06-05 00:00:00+05:30,8
31,Npath,npath,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2022-06-22 00:00:00+05:30,2023-02-10 00:00:00+05:30,4
32,Tekfly,tekfly,Morbi non lectus.,2022-05-12 00:00:00+05:30,2022-12-05 00:00:00+05:30,1
33,Fanoodle,fanoodle,Maecenas rhoncus aliquam lacus.,2022-05-07 00:00:00+05:30,2023-01-05 00:00:00+05:30,9
34,Tagpad,tagpad,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,2022-09-26 00:00:00+05:30,2022-11-09 00:00:00+05:30,4
35,Aivee,aivee,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",2023-01-15 00:00:00+05:30,2022-11-01 00:00:00+05:30,7
36,Skinix,skinix,Donec posuere metus vitae ipsum. Aliquam non mauris.,2022-12-26 00:00:00+05:30,2022-03-16 00:00:00+05:30,4
37,Riffpedia,riffpedia,Sed accumsan felis. Ut at dolor quis odio consequat varius.,2022-03-28 00:00:00+05:30,2023-02-21 00:00:00+05:30,9
38,Eimbee,eimbee,Suspendisse potenti.,2022-08-22 00:00:00+05:30,2022-04-22 00:00:00+05:30,4
39,Wordware,wordware,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,2022-03-16 00:00:00+05:30,2022-11-07 00:00:00+05:30,1
40,Demivee,demivee,Integer a nibh. In quis justo.,2022-11-07 00:00:00+05:30,2022-06-14 00:00:00+05:30,1
41,Dynava,dynava,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",2022-09-18 00:00:00+05:30,2022-07-05 00:00:00+05:30,7
42,Eayo,eayo,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",2022-10-01 00:00:00+05:30,2022-11-22 00:00:00+05:30,3
43,Teklist,teklist,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",2022-04-04 00:00:00+05:30,2022-10-04 00:00:00+05:30,3
44,Realpoint,realpoint,Proin risus. Praesent lectus.,2023-02-09 00:00:00+05:30,2022-05-31 00:00:00+05:30,5
45,Browseblab,browseblab,Donec ut mauris eget massa tempor convallis.,2022-08-30 00:00:00+05:30,2023-02-23 00:00:00+05:30,6
46,Mita,mita,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",2022-07-17 00:00:00+05:30,2022-11-11 00:00:00+05:30,4
47,Rhyloo,rhyloo,Sed vel enim sit amet nunc viverra dapibus.,2023-02-19 00:00:00+05:30,2022-11-18 00:00:00+05:30,1
